Date,inflow,Year,Month,lag_1,lag_2,lag_3,lag_6,lag_12,lag_24,rolling_mean_3,rolling_std_3,rolling_min_3,rolling_max_3,rolling_mean_6,rolling_std_6,rolling_min_6,rolling_max_6,rolling_mean_12,rolling_std_12,rolling_min_12,rolling_max_12,month_sin,month_cos,time_index,time_index_norm,diff_1,diff_pct_1,diff_12,diff_pct_12
2001-01-01,13.427746543616964,2001,1,19.475242484464417,16.664828619190338,13.596583378920393,11.27065607372615,30.791891280418625,40.575598702568115,16.57888482752504,2.9402717512659335,13.596583378920393,19.475242484464417,14.357706019568317,3.2921919890075944,10.81221585749384,19.475242484464417,37.29498939302977,37.513941840793144,10.81221585749384,139.15487328790897,0.49999999999999994,0.8660254037844387,24,0.08571428571428572,2.8104138652740787,0.16864343039434293,3.3326217469537625,0.2064486182971356
2001-02-01,21.77385699824183,2001,2,13.427746543616964,19.475242484464417,16.664828619190338,14.326709703614744,32.89209333725861,65.18216517084004,16.522605882423896,3.0262554863693807,13.427746543616964,19.475242484464417,14.717221097883455,2.991724625429314,10.81221585749384,19.475242484464417,35.84797733162964,38.11762062840261,10.81221585749384,139.15487328790897,0.8660254037844386,0.5000000000000001,25,0.08928571428571429,-6.047495940847453,-0.310522241028403,-17.364144736801663,-0.5639193961380339
2001-03-01,37.08912480485868,2001,3,21.77385699824183,13.427746543616964,19.475242484464417,10.81221585749384,60.41232028991555,63.08944828375294,18.225615342107726,4.311097995451356,13.427746543616964,21.77385699824183,15.958412313654634,4.126799206371168,10.81221585749384,21.77385699824183,34.92145763671157,38.33053064418009,10.81221585749384,139.15487328790897,1.0,6.123233995736766e-17,26,0.09285714285714286,8.346110454624865,0.6215570444016376,-11.118236339016779,-0.33802154897884124
2001-04-01,41.76377726453519,2001,4,37.08912480485868,21.77385699824183,13.427746543616964,13.596583378920393,139.15487328790897,81.85345184881479,24.096909448905816,12.000526439360554,13.427746543616964,37.08912480485868,20.33789713821544,8.8328557884492,13.427746543616964,37.08912480485868,32.97785801295684,37.502859433147414,10.81221585749384,139.15487328790897,0.8660254037844387,-0.49999999999999983,27,0.09642857142857143,15.315267806616848,0.7033787265092035,-23.32319548505687,-0.3860668713456143
2001-05-01,27.335216081602137,2001,5,41.76377726453519,37.08912480485868,21.77385699824183,16.664828619190338,71.65955963262245,48.081737161497465,33.542253022545225,10.456311617550393,21.77385699824183,41.76377726453519,25.032429452484575,11.588683557553574,13.427746543616964,41.76377726453519,24.861933344342358,17.7976610515511,10.81221585749384,71.65955963262245,0.49999999999999994,-0.8660254037844387,28,0.1,4.6746524596765155,0.12603835987696677,-97.39109602337378,-0.6998755682948546
2001-06-01,11.233820826154908,2001,6,27.335216081602137,41.76377726453519,37.08912480485868,19.475242484464417,26.482898770823265,24.48774083149716,35.39603938366533,7.361776153551733,27.335216081602137,41.76377726453519,26.810827362886542,10.842488835808194,13.427746543616964,41.76377726453519,21.168238048423994,10.165462069615556,10.81221585749384,41.76377726453519,1.2246467991473532e-16,-1.0,29,0.10357142857142858,-14.428561182933056,-0.3454802732890123,-44.324343551020306,-0.6185405517178478
2001-07-01,8.213041007342365,2001,7,11.233820826154908,27.335216081602137,41.76377726453519,13.427746543616964,11.27065607372615,12.416173555739386,26.777604724097404,15.27261463705093,11.233820826154908,41.76377726453519,25.43725708650162,12.371822631164434,11.233820826154908,41.76377726453519,19.897481553034964,10.391307434064741,10.81221585749384,41.76377726453519,-0.4999999999999998,-0.8660254037844388,30,0.10714285714285714,-16.10139525544723,-0.5890348628443516,-15.249077944668358,-0.5758084897212449
2001-08-01,6.451606142896909,2001,8,8.213041007342365,11.233820826154908,27.335216081602137,21.77385699824183,14.326709703614744,7.119302709210353,15.594025971699793,10.279734265830346,8.213041007342365,27.335216081602137,24.568139497122527,13.514607355316425,8.213041007342365,41.76377726453519,19.642680297502984,10.656184379970782,8.213041007342365,41.76377726453519,-0.8660254037844384,-0.5000000000000004,31,0.11071428571428571,-3.0207798188125423,-0.26890048057197735,-3.057615066383784,-0.27128989176695884
2001-09-01,11.70036000967544,2001,9,6.451606142896909,8.213041007342365,11.233820826154908,37.08912480485868,10.81221585749384,11.74903267810856,8.632822658798052,2.4185857014720678,6.451606142896909,11.233820826154908,22.0144310212317,15.456359623495196,6.451606142896909,41.76377726453519,18.986421667443164,11.239838684794215,6.451606142896909,41.76377726453519,-1.0,-1.8369701987210297e-16,32,0.11428571428571428,-1.761434864445456,-0.21446804695979882,-7.875103560717835,-0.5496798444049497
2001-10-01,7.513385191046692,2001,10,11.70036000967544,6.451606142896909,8.213041007342365,41.76377726453519,13.596583378920393,15.605411141540309,8.788335719971561,2.6712501367878057,6.451606142896909,11.70036000967544,17.782970222034496,13.901060169961934,6.451606142896909,41.76377726453519,19.060433680124966,11.183904956284646,6.451606142896909,41.76377726453519,-0.8660254037844386,0.5000000000000001,33,0.11785714285714285,5.248753866778531,0.8135577018379068,0.8881441521816011,0.0821426582568676
